sku,is_in_stock
KAN-AP-20FW35_3,1
KAN-AP-20FW35_2,1
KAN-AP-20FW35_1,1
KAN-AP-20FW36_2,1
KAN-AP-20FW36_1,1
KAN-AP-20FW37_3,1
KAN-AP-20FW37_2,1
KAN-AP-20FW37_1,1
KAN-AP-20FW38_2,1
KAN-AP-20FW38_1,1
KAN-AP-21S02_5,1
KAN-AP-21S02_4,1
KAN-AP-21S02_3,1
KAN-AP-21S02_2,1
KAN-AP-21S02_1,1
KAN-AP-21S04_5,1
KAN-AP-21S04_4,1
KAN-AP-21S04_3,1
KAN-AP-21S04_2,1
KAN-AP-21S04_1,1
KAN-AP-21S05_5,1
KAN-AP-21S05_4,1
KAN-AP-21S05_3,1
KAN-AP-21S05_2,1
KAN-AP-21S05_1,1
KAN-AP-21S07_5,1
KAN-AP-21S07_4,1
KAN-AP-21S07_3,1
KAN-AP-21S07_2,1
KAN-AP-21S07_1,1
KAN-AP-21S09_5,1
KAN-AP-21S09_4,1
KAN-AP-21S09_3,1
KAN-AP-21S09_2,1
KAN-AP-21S09_1,1
KAN-AP-21S10_5,1
KAN-AP-21S10_4,1
KAN-AP-21S10_3,1
KAN-AP-21S10_2,1
KAN-AP-21S10_1,1
KAN-AP-21S11_5,1
KAN-AP-21S11_4,1
KAN-AP-21S11_3,1
KAN-AP-21S11_2,1
KAN-AP-21S11_1,1
KAN-AP-21S12_5,1
KAN-AP-21S12_4,1
KAN-AP-21S12_3,1
KAN-AP-21S12_2,1
KAN-AP-21S12_1,1
KAN-AP-21S14_5,1
KAN-AP-21S14_4,1
KAN-AP-21S14_3,1
KAN-AP-21S14_2,1
KAN-AP-21S14_1,1
KAN-AP-21S15_5,1
KAN-AP-21S15_4,1
KAN-AP-21S15_3,1
KAN-AP-21S15_2,1
KAN-AP-21S15_1,1
KAN-AP-21S16_5,1
KAN-AP-21S16_4,1
KAN-AP-21S16_3,1
KAN-AP-21S16_2,1
KAN-AP-21S16_1,1
KAN-AP-21S19_5,1
KAN-AP-21S19_4,1
KAN-AP-21S19_3,1
KAN-AP-21S19_2,1
KAN-AP-21S19_1,1
